#f	lead1	lead2	lead3	lead4	lead5	lead6	lead7	lead8	lead9	lead10	lead11	lead12
0.501756	180955	214202	707514	862586	963177	1.62882e+06	1.35085e+06	1.30712e+06	1.65673e+06	1.51197e+06	1.4956e+06	0
1.00351	249111	111442	824392	803098	1.09852e+06	1.44275e+06	734074	1.02133e+06	1.04426e+06	1.06245e+06	935953	0
1.50527	63226.6	85288.7	285965	272472	407078	496399	199139	331144	401926	389164	353538	0
2.00702	5.37815	6092.7	5853.59	79206.1	62597.5	18148.7	4524.59	897.076	35563.4	27210.9	45974.5	0
2.50878	3614.88	8708.21	6129.53	170930	67394.1	12092.9	30439.3	27935.9	7711.21	15036	5712.5	0
3.01054	1.70677	2669.5	6178.42	14264.7	2255.02	35363.8	96296.2	18697.2	54575.7	52474.9	58053.7	0
3.51229	788.381	3136.59	20846	44995.5	22130.3	71684.5	114660	48164.1	124891	106993	109425	0
4.01405	0.863785	1493.28	1307.4	4043.14	35434.5	60367.2	38566	31701.3	57955.5	60029.2	86521.7	0
4.51581	269.413	1634.24	4307.95	18077.2	71466.6	88456.8	60087	38413.9	9670.3	17190.9	38327.2	0
5.01756	0.527405	953.194	491.761	4560.69	10762.7	29384.2	4346.96	2009.1	29303.1	23124.8	17728.7	0
5.51932	116.722	1012.46	2545.11	6427.06	1709.66	30186.3	16346.7	35212.6	42237.3	67427.9	81924.3	0
6.02107	0.357174	660.997	590.254	2640.3	28063.8	8091.38	4283.1	1063.52	3157.02	7359.43	12569.2	0
6.52283	58.7001	692.769	1335.12	3353.58	73994.4	29231.3	36438.6	20488.2	42118.9	16296.3	5964.25	0
7.02459	0.258517	485.222	429.515	1701.14	11357.1	9180.81	8127.25	30507.5	24106.1	12062	1494.3	0
7.52634	32.7255	505.685	857.126	2049.37	4813.35	3520.36	9719.95	60190.7	33646.5	26501.2	16943.4	0
8.0281	0.196008	371.303	335.338	1165.73	3766.33	8794.93	5204.14	52348.8	29265.6	46198.9	51499.2	0
8.52985	19.6804	386.15	594.349	1430.64	37229.2	1877.59	5856.83	10141.2	15081	34302.9	60377.7	0
9.03161	0.153856	293.276	265.427	857.058	8828.48	3073.68	794.384	3661.95	1603.47	2984.88	9405.61	0
9.53337	12.5441	305.006	438.596	1067.08	3637.69	9637.82	5382.66	9134.04	5573.26	6622.45	1792.45	0
10.0351	0.124043	237.502	215.336	660.811	35.707	5164.18	1886.54	20180.1	1649.87	237.064	8616.24	0
10.5369	8.37251	247.191	337.796	831.833	12336	934.729	14592.8	23084.4	23223.9	16453.1	31527.2	0
11.0386	0.10216	196.256	178.125	527.512	4813.92	1429.65	6072.17	7963.61	13579.6	15361.2	32027.1	0
11.5404	5.80178	204.576	268.797	669.043	2022.6	4776.81	9044.52	23441.3	5395.3	20873.7	49851.8	0
